"titolo","autore","nome"
Macerie prime,"Michele Rech, Zerocalcare",Bao Publishing
Il Signore degli Anelli: La compagnia dell'anello. Le due torri. Il ritorno del re,John Ronald Reuel Tolkien,Bompiani
Lo Hobbit,John Ronald Reuel Tolkien,Bompiani
Una storia tra due città,Charles Dickens,Bompiani
Il libretto rosso,Tse-tung Mao,Edizioni Clandestine
Don Chisciotte della Mancha,Miguel de Cervantes,Einaudi
Il giovane Holden,J. D. Salinger,Einaudi
Il sogno della camera rossa. Romanzo cinese del XVIII secolo,Tsao Chan,Einaudi
Quel che resta del giorno,Kazuo Ishiguro,Einaudi
Alchimista (L'),Paulo Coelho,Mondadori
Cinquanta sfumature di grigio,E. L. James,Mondadori
Dieci piccoli indiani,Agatha Christie,Mondadori
Il Codice da Vinci,Dan Brown,Mondadori
"Il leone, la strega e l'armadio",Clive Staples Lewis,Mondadori
Il Piccolo Principe,Antoine de Saint-Exup?ry,Mondadori
La colonna di fuoco,Ken Follett,Mondadori
La donna della domenica,Carlo Fruttero,Mondadori
La donna della domenica,Franco Lucentini,Mondadori
Origin,Dan Brown,Mondadori
Harry Potter e la Pietra Filosofale,J. K. Rowling,Salani
Marcovaldo,Italo Calvino,Sellerio
Un mese con Montalbano,Andrea Camilleri,Sellerio
IT,Stephen King,Sperling & Kupfer
